text	LAPTOP#GENERAL	LAPTOP#QUALITY	LAPTOP#OPERATION_PERFORMANCE	LAPTOP#DESIGN_FEATURES	LAPTOP#CONNECTIVITY	LAPTOP#MISCELLANEOUS	LAPTOP#PORTABILITY	LAPTOP#USABILITY	LAPTOP#PRICE
 Being a PC user my whole life.... This computer is absolutely AMAZING!!! 10 plus hours of battery... super fast processor and really nice graphics card.. and plenty of storage with 250 gb(though I will upgrade this and the ram..) This computer is really fast and I'm shocked as to how easy it is to get used to... I've only had mine a day but I'm already used to it... MACS ARE AMAZING!!! GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
 the laptop was really good and it goes really fast just the way i thought it would of run. i would really recommend to any person out there to get this laptop cause its really worth it. and its really cheap and you wont regret buying it.	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
 As a lifelong Windows user, I was extremely pleased to make the change to Mac. As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more; without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere. I highly recommend this computer for students looking for a solid machine to get them through college. A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
 Oh my goodness-I am not a happy camper. My HP is very heavy. Not easy to carry. The battery has never worked well. The battery gets so HOT it is scary. Yet, HP won't do anything about the problem. I returned the computer to HP and they kept it for 3 months. When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem. So, you can imagine how unhappy I am with this item. Currently if I use the laptop I can't sit it on my lap because it will burn my legs. I did contact HP and share how unhappy I am. Well, they don't care a bunch. But, at the same time they (the company) would not and could not do anything about my problem. I would  say if you want to buy one of these machines be careful. And, if you are going to deal with HP be careful. In my house, HP is a nasty word.	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
 Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop. The netbook is easier for me to take to bed and carry around with me. The screen takes some getting use to, because it is smaller than the laptop. I have not have any problems.	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
 The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me. He gave me this PC about 3 years ago and up to this point im still sitting here using it. Its still going. It is in the best condition and has a really high quality. This is something i would deffinately reccomend to someone. You will not regret buying such a great thing like this! It can't get any better.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Waited on getting this computer, but it has been a great change. Ease of use is just one of the benefits I love about my Mac.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 This laptop meets every expectation and Windows 7 is great! It's fast, it's easy easy easy to set up, easy to hook to my wireless network. It's even easy to hook up to other wireless networks. The battery doesn't last long but I'm sure an upgrade battery would solve that problem. I don't use my laptop in a way though that needs a long battery life so it's perfect for me.	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0
 Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 I bought it for really cheap also and it's AMAZING. Easy to start up and does not overheat as much as other laptops. Recommended to people as their first laptop.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
 Plain and simple, it(laptop) runs great and loads fast. Easy to carry, can be taken anywhere, can be hooked up to printers,headsets. Love that it doesn't take up space like a regular computer.	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
 I'm already hooked on the sleek look and dependability that this laptop has shown. Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around. The unibody design is edgy and durable. The LED backlit display makes my pictures pop so much more. I'm learning the finger options for the mousepad that allow for quicker browsing of web pages. Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker. A key contributor that led me to Mac is the art aspect. They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular. I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same. It's more expensive but well worth it in the long run.	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
 Great product, very easy to use and great graphics. One drawback, I wish the keys were backlit. I'm glad I bought this laptop, it was worth the few ($100) extra dollars.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
 It had most of the features and all of the power that I wanted to replace my desktop machine. I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise. I'm very happy with this machine!	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
