text	service	location	cleanliness	business
swiss experience in nyc great stay in nyc thanks to blue moon hotel with its very friendly staff.	0.8	0.8	1.0	0.8
fine rooms, very quiet.	0.8	0.8	1.0	0.8
excellent location in downtown.	0.8	0.8	1.0	0.8
highly recommandable	0.8	0.8	1.0	0.8
Good Hotel, Minor Complaint	0.0	1.0	0.8	0.0
Hotel was nice, yes, maybe it needs updating, but it was fine nonetheless.	0.0	1.0	0.8	0.0
It is indeed close to everything, Shopping Malls and Pike's Place Market.	0.0	1.0	0.8	0.0
Hotel staff was friendly and helpful.	0.0	1.0	0.8	0.0
The only complaint I have is the charge for parking- $35.00 for 2 hours is extremely excessive- especially since I was a hotel guest.	0.0	1.0	0.8	0.0
I stayed one night, but the fee for parking, Internet and a bar charge were more than I paid for the room.	0.0	1.0	0.8	0.0
I always try to book Kimpton Hotels	0.8	0.8	0.8	0.0
I've enjoyed staying at Kimpton hotels over the years because of their boutique feel and welcoming atmosphere.	0.8	0.8	0.8	0.0
I also appreciate the wine hours and the coffee in the lobby in the morning.	0.8	0.8	0.8	0.0
I often eat in the attached restaurants which the chain makes an effort to create a destination restaurant.	0.8	0.8	0.8	0.0
The Hotel Vintage Park did not disappoint.	0.8	0.8	0.8	0.0
The location is good and the front desk staff are very helpful.	0.8	0.8	0.8	0.0
The room was comfortable and I appreciate the ability to get different pillows easily.	0.8	0.8	0.8	0.0
Having a bathrobe in the room is wonderful, especially for women traveling for business and trying to keep baggage light.	0.8	0.8	0.8	0.0
Housekeeping did a good job and the room was clean and fully stocked with amenities.	0.8	0.8	0.8	0.0
The Il Tulio Restaurant was also good for dinner.	0.8	0.8	0.8	0.0
Absolutely beautiful!!	1.0	0.0	1.0	0.0
Stayed at the resort from Jan.	1.0	0.0	1.0	0.0
29-Feb.5, 2006.	1.0	0.0	1.0	0.0
We went to the resort for our honeymoon, and reading some of the reviews, it made us sceptical of where we were going.	1.0	0.0	1.0	0.0
I dont know what people were complaining about, because we had absolutely NO problems with ANYTHING there!	1.0	0.0	1.0	0.0
We went to the steak house (La Cava) and it was great!	1.0	0.0	1.0	0.0
The presentation was awesome and you get large portion meals there.	1.0	0.0	1.0	0.0
Only I would recommend eating INSIDE the restaurant, instead of eating outside...I got bitten by some flies/bugs out there (about 30 bites on my legs, which were VERY itchy).	1.0	0.0	1.0	0.0
We also tried the Mexican and Italian restaurants.	1.0	0.0	1.0	0.0
My husband and I both didnt much care for the Italian food, however many others seemed to enjoy it.	1.0	0.0	1.0	0.0
Our favorite was the Mexican restaurant, in fact we ended up going there twice during our stay!!	1.0	0.0	1.0	0.0
The buffet was quite well...we really enjoyed the omlettes in the mornings!!	1.0	0.0	1.0	0.0
There was a LARGE variety of foods to choose from at the buffet and they all had good flavor.I would HIGHLY recommend getting the VIP package....its worth the few extra bucks!	1.0	0.0	1.0	0.0
With this you recieve a VERY relaxing massasge, premium brand drinks, and lots of other little extras.	1.0	0.0	1.0	0.0
However, you have to mention to the bartenders that you are VIP and tell them that you want 'Brugal' rum (the better rum), and the more expensive vodka...otherwise they might mistake you for NOT being VIP and not receiving the better alcohol.	1.0	0.0	1.0	0.0
Our room service from our maids was great, but it also helps if you tip them.	1.0	0.0	1.0	0.0
We had brought them alot of gifts from home (ex. shampoos, soaps, books, paper, pens, clothes...)	1.0	0.0	1.0	0.0
We have no complaints about our room AT ALL!!!	1.0	0.0	1.0	0.0
It was amazing, LARGE bathroom, and a sunk-in living room....it had everything we needed.	1.0	0.0	1.0	0.0
We spent half of our stay sun-tanning on the beach, and NEVER had trouble finding a hut or chairs to sit on...dont know what other guests were complaing that they couldnt find a place to sit by the beach.	1.0	0.0	1.0	0.0
The other half of the time we tanned by the pool (the one with the swim up bar).	1.0	0.0	1.0	0.0
There we had to wake up a bit earlier to find chairs to sit on.	1.0	0.0	1.0	0.0
The sun seemed hotter by the pool, but then again you dont have the ocean breeze blowing and cooling you down....which was nice, because we both got bad wind/sun burns sitting by the beach one afternoon.	1.0	0.0	1.0	0.0
The main bars that we went to were the swim-up bar during the day and the lobby bar during the evening.	1.0	0.0	1.0	0.0
The lobby bar is quite beautiful and relaxing.	1.0	0.0	1.0	0.0
We had booked a tour with Turinter (Air Canada affiliated) for the Sanoa Island tour, however that morning the bus that was suppose to pick us up, along with 8 others from our resort, accidentaly missed our resort and left without us all.	1.0	0.0	1.0	0.0
It was no problem at all dealing with them about this issue.	1.0	0.0	1.0	0.0
They were more than willing to either re-book us, or return our money back IN FULL.	1.0	0.0	1.0	0.0
We decided not to re-book seeing it was one of our last days there, and heard from others that went on the tour that it actually wasnt worth the $80 american/person.	1.0	0.0	1.0	0.0
They didnt have entertainment on the boat ride at all and never saw ANY fish on their whole tour.	1.0	0.0	1.0	0.0
Overall, my husband and I would definately recommend the resort though.	1.0	0.0	1.0	0.0
It was absolutely gorgeous and the staff there was amazing.	1.0	0.0	1.0	0.0
We did ALOT of walking along the beach everyday there, and thought that our resort had the best part of the beach BY FAR!! It was clean and had the most huts and chairs!We would definately go back, and to those of you who are going you'll have a blast!!	1.0	0.0	1.0	0.0
Extremely friendly place	1.0	0.6	1.0	0.8
We stayed in the two-bedroom villa at Ixora and found the place to be comfortable, perfectly maintained and relaxing.	1.0	0.6	1.0	0.8
The staff were as friendly as you'd find anywhere, and the German owner was always accommodating and friendly - giving us an itinerary and booking a driver for a day trip, as well as offering us a lift into town whenever we wanted.	1.0	0.6	1.0	0.8
Some people on tripadvisor have stated how the villas are 'out in the sticks', which seems a little churlish as transport is dirt cheap and you're really not far from anything.	1.0	0.6	1.0	0.8
If clubbing in Legian is your thing then, fair enough, this may not be what you're after - but if you're after a relaxing holiday where you can take in the island at your own pace, you could do much worse than stay here.	1.0	0.6	1.0	0.8
Had a fun time!!	1.0	1.0	1.0	0.8
Hola my husband and i spent the wk mar 9th to the 16th at this hotel.	1.0	1.0	1.0	0.8
We were treated great from the time we walked in the lobby,we had to wait for a room but it was well worth it! We got an upgrade because it was my husbands b-day while we were there and they knew this ..We had a fun- vacation laughing alot at the entertainment group ,they are an asset to the hotel,Black Banana and Leo kept the pool area and beach hopping and they were all good!! We thought the food was good and the weather couldn't have been better.	1.0	1.0	1.0	0.8
The evening shows(adult) were fun too...The pool and beach are wonderful,clean and only complaint was the saving of the shade huts,we had to do it too because the sun is intense.	1.0	1.0	1.0	0.8
.Don't know what the complaints from other reviews were all about they must be really picky!!!	1.0	1.0	1.0	0.8
Would go back but like new adventures everytime. oh get a massage it was heavenly!	1.0	1.0	1.0	0.8
Tip the maids etc they work really hard!	1.0	1.0	1.0	0.8
Gracias for a great wk.....	1.0	1.0	1.0	0.8
Nice stay for a very good price	0.0	0.0	0.0	0.0
Since my first stay at the boutiques hotels was very nice i decided that i will check all of them.	0.0	0.0	0.0	0.0
Last time i stayed at Metropolis, I picked the Maxwell this time.	0.0	0.0	0.0	0.0
The furniture and the decor at my room were old, (in contrast with the other that has new furniture), the mattress also was old, but still comfortable, i never had a bad sleep night.	0.0	0.0	0.0	0.0
The hotel were still under renovations for the new look, if it looks now as they promised, it should be looking very modern.	0.0	0.0	0.0	0.0
As soon as i registered I were informed that i was up-graded to another room.	0.0	0.0	0.0	0.0
I didn't ask why but i had a bigger room than the one i booked, very spacious with two sofas and a table.	0.0	0.0	0.0	0.0
I felt like i was at home.	0.0	0.0	0.0	0.0
The bathroom was very clean and in general everyone at the hotel were always friendly.	0.0	0.0	0.0	0.0
I always felt welcome.	0.0	0.0	0.0	0.0
The hotel is very good located, everything is light walk distance, you can also take the BART to the airport, which is very convenient.	0.0	0.0	0.0	0.0
I believe that you can considerer yourself fortunate if you find a decent and affordable hotel in the heart of San Francisco.	0.0	0.0	0.0	0.0
i forgot to take pictures, but i don't have complains.	0.0	0.0	0.0	0.0
Don't expect five stars, but expect a clean and comfortable room.	0.0	0.0	0.0	0.0
Solid hotel This place is pretty swish, probably what you would expect.	0.8	0.6	1.0	0.6
Got a good w/e rate as place is in business district, so area is a bit dead but really well located to get to other areas easily and fast.	0.8	0.6	1.0	0.6
Good service, very nicely styled and clean room which was a good size.	0.8	0.6	1.0	0.6
Like most hotels of this calibre, the extras eg internet were an absolute rip off though.	0.8	0.6	1.0	0.6
Loved it!!	1.0	1.0	1.0	0.0
My boyfriend and	1.0	1.0	1.0	0.0
I stayed at this hotel from Nov 25 to Dec 2.	1.0	1.0	1.0	0.0
I was a bit concerned staying at this property because I had heard a few bad things about this resort, but honestly this hotel is the best hotel I've ever stayed in Punta Cana.	1.0	1.0	1.0	0.0
Check in was quick, the grounds are huge, and very clean.	1.0	1.0	1.0	0.0
The rooms are huge.	1.0	1.0	1.0	0.0
You have 6 restaurants to choose from to go eat, you don't need reservations, but keep in mind that at the a la carte restaurants guys can't wear shorts( dress code in full effect) the food was amazing and I'm a picky eater!	1.0	1.0	1.0	0.0
Drinks let's see; they pretty much make anything you ask them too.	1.0	1.0	1.0	0.0
The beach is huge and very clean, there are plenty of chairs so you don't have to wake up early morning so you can get a chair.	1.0	1.0	1.0	0.0
Staff are very friendly.	1.0	1.0	1.0	0.0
The shows at night are very nice especially Chicago and the Lion King!	1.0	1.0	1.0	0.0
Please put some bug repelant at night there are some mosquitos at night!	1.0	1.0	1.0	0.0
There's not really much to stay about this property except that I had an amazing time and that this hotel and the service provided here is amazing, will i recommend this hotel to my friends and will I stay here again; most definately.	1.0	1.0	1.0	0.0
Great modern hotel away from the action in Barcelona	1.0	0.2	0.8	1.0
Great hotel for business conventions (part of the reason for my trip), but far from the life of the city.	1.0	0.2	0.8	1.0
